[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001653s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001546s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001691s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003075s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003328s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.001345s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001494s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001359s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001483s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.003096s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_ask` LIMIT 1   [ RunTime:0.013487s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | NOTIC: [8] Undefined variable: limit AskAction.class.php 第 14 行.
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | SQL: SELECT * FROM `hd_ask` ORDER BY time DESC  [ RunTime:0.000488s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run LocationTemplate Behavior [ RunTime:0.011886s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.012182s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ParseTemplate Behavior [ RunTime:0.037677s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037786s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ContentReplace Behavior [ RunTime:0.000729s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run TokenBuild Behavior [ RunTime:0.000643s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000507s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000788s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002884s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000718s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000793s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run CheckRoute Behavior [ RunTime:0.001001s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001110s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000803s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000886s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | SQL: SHOW COLUMNS FROM `hd_answer` [ RunTime:0.004710s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_answer` LIMIT 1   [ RunTime:0.000240s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | SQL: SELECT * FROM `hd_answer` ORDER BY time DESC LIMIT 0,20   [ RunTime:0.000237s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001205s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001290s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run ParseTemplate Behavior [ RunTime:0.067233s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.067343s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run ContentReplace Behavior [ RunTime:0.000793s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run TokenBuild Behavior [ RunTime:0.001036s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001760s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001319s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005456s ]
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:35+08:00 ] /wenda/Admin.php/Answer/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003902s ]
