[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000795s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000427s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000561s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001054s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000332s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.001107s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000288s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Division by zero 229e9d4d2dc754066c0aabe38533f7b2.php 第 152 行.
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.033437s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033567s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000501s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000746s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000259s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000728s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002602s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000486s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000612s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000832s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000994s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000635s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000771s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ route_check ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000816s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000968s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000994s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001151s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000391s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000540s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001164s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000360s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002062s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000494s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Division by zero 229e9d4d2dc754066c0aabe38533f7b2.php 第 152 行.
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.039248s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039417s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000519s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000557s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000259s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000707s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002402s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000461s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000607s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000813s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000979s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000688s ]
[ 2013-05-03T10:02:24+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000818s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000871s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001029s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001019s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000308s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '1' )  [ RunTime:0.000260s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '2' )  [ RunTime:0.000249s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '3' )  [ RunTime:0.000295s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '4' )  [ RunTime:0.000263s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '5' )  [ RunTime:0.000260s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '6' )  [ RunTime:0.000218s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '7' )  [ RunTime:0.000310s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '8' )  [ RunTime:0.000272s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '9' )  [ RunTime:0.000263s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '10' )  [ RunTime:0.000251s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '11' )  [ RunTime:0.000284s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '12' )  [ RunTime:0.000378s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '13' )  [ RunTime:0.000388s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000392s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000674s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000814s ]
[ 2013-05-03T10:03:26+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-03T10:03:26+08:00 ] /index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000423s ]
[ 2013-05-03T10:03:27+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.001399s ]
[ 2013-05-03T10:03:27+08:00 ] /index.php | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000297s ]
[ 2013-05-03T10:03:27+08:00 ] /index.php | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 336 行.
[ 2013-05-03T10:03:27+08:00 ] /index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.076333s ]
[ 2013-05-03T10:03:27+08:00 ] /index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076466s ]
[ 2013-05-03T10:03:27+08:00 ] /index.php | INFO: Tag[ view_filter ] --START--
[ 2013-05-03T10:03:27+08:00 ] /index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000679s ]
