[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000912s ]
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003374s ]
[ 2014-08-11T19:46:18+08:00 ] /wenda11/index.php/Common/checkUsername | SQL: SELECT `id` FROM `hd_user` WHERE ( `username` = '天涯' ) LIMIT 1   [ RunTime:0.000205s ]
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Run CheckRoute Behavior [ RunTime:0.001425s ]
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001583s ]
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001121s ]
[ 2014-08-11T19:46:40+08:00 ] /wenda11/index.php/Common/checkVerify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001221s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ route_check ] --START--
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run CheckRoute Behavior [ RunTime:0.001297s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001472s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002074s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002351s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003674s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | SQL: SELECT `id` FROM `hd_user` WHERE ( `account` = 'tianya888' ) LIMIT 1   [ RunTime:0.000313s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | SQL: SELECT `id` FROM `hd_user` WHERE ( `username` = '天涯' ) LIMIT 1   [ RunTime:0.000272s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | SQL: INSERT INTO `hd_user` (`account`,`username`,`password`,`logintime`,`loginip`,`registime`) VALUES ('tianya888','天涯','f388003539c3c91dd1a7997d4d07b946',1407757601,'127.0.0.1',1407757601) [ RunTime:0.000417s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ view_template ] --START--
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002098s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002243s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ view_parse ] --START--
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run ParseTemplate Behavior [ RunTime:0.024419s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024551s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Tag[ view_filter ] --START--
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run ContentReplace Behavior [ RunTime:0.000973s ]
[ 2014-08-11T19:46:41+08:00 ] /wenda11/index.php/Common/register | INFO: Run TokenBuild Behavior [ RunTime:0.001225s ]
