[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000414s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.033587s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033719s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.001086s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000531s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000275s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000676s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002926s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000448s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000590s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000791s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000939s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000633s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000761s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.000781s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000958s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000811s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000945s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001507s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000297s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.001039s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('181','182',15) ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000249s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('181','182',15) ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.001143s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_template ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run LocationTemplate Behavior [ RunTime:0.000485s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000618s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_parse ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001071s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.031489s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031633s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.000526s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.000478s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000258s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.000673s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002299s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000488s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/List/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000681s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000786s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000935s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000633s ]
[ 2013-05-06T09:09:40+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000760s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000819s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000973s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000608s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000736s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001619s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 1 )  [ RunTime:0.000377s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.000992s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('15','16','17','18','19','20','21','22','23',1) ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000291s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('15','16','17','18','19','20','21','22','23',1) ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.000419s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000419s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000549s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_parse ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001157s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.034082s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034220s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000544s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000490s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000273s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000645s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002322s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000467s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000599s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000792s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000942s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000623s ]
[ 2013-05-06T09:09:47+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000766s ]
